PNR Number,Train Number,Date of Journey,Class of Travel,Quota,Source Station,Destination Station,Booking Date,Current Status,Number of Passengers,Age of Passengers,Booking Channel,Travel Distance,Number of Stations,Travel Time,Train Type,Seat Availability,Special Considerations,Holiday or Peak Season,Waitlist Position,Confirmation Status
PNR0000000042,90188,13/10/24,1AC,Tatkal,BCT,BSB,12/02/24,Confirmed,4,Child,Counter,361,11,41,Rajdhani,21,None,No,,Confirmed
PNR0000000043,10238,14/10/24,2AC,General,UMB,JP,13/02/24,RAC,1,Adult,Mobile App,1793,7,3,Shatabdi,436,None,No,,Confirmed
PNR0000000044,41141,15/10/24,1AC,Premium Tatkal,LKO,UMB,14/02/24,Confirmed,2,Senior Citizen,IRCTC Website,1294,8,30,Superfast,262,Defense Quota,Yes,,Confirmed
PNR0000000045,35634,16/10/24,3AC,General,KOAA,BCT,15/02/24,RAC,2,Child,IRCTC Website,84,16,5,Superfast,158,Senior Citizen,Yes,,Confirmed
PNR0000000046,28573,17/10/24,1AC,Ladies,HWH,ASR,16/02/24,RAC,1,Child,IRCTC Website,1104,8,46,Shatabdi,152,Senior Citizen,No,,Confirmed
PNR0000000047,81660,18/10/24,2AC,General,PNBE,ADI,17/02/24,RAC,4,Adult,Mobile App,676,13,30,Express,128,None,Yes,,Confirmed
PNR0000000048,97289,19/10/24,3AC,Tatkal,PNBE,LTT,18/02/24,Confirmed,2,Child,Mobile App,1826,13,29,Shatabdi,368,None,Yes,,Confirmed
PNR0000000049,22925,20/10/24,3AC,Premium Tatkal,KOAA,JU,19/02/24,Confirmed,5,Adult,IRCTC Website,1913,19,14,Express,135,Senior Citizen,Yes,,Confirmed
PNR0000000050,12718,21/10/24,1AC,Premium Tatkal,SBC,LTT,20/02/24,Confirmed,5,Adult,Counter,275,18,3,Shatabdi,137,Defense Quota,Yes,,Confirmed
PNR0000000051,23909,22/10/24,2AC,General,JU,BSB,21/02/24,Confirmed,4,Adult,Mobile App,815,9,30,Shatabdi,97,Defense Quota,No,,Confirmed
PNR0000000052,95691,23/10/24,Sleeper,Ladies,PNBE,LTT,22/02/24,RAC,4,Senior Citizen,Mobile App,298,10,29,Rajdhani,480,None,Yes,,Confirmed
PNR0000000053,75191,24/10/24,2AC,,CSMT,JHS,23/02/24,Waitlisted,3,Child,Mobile App,560,16,43,Express,134,Defense Quota,Yes,WL166,Not Confirmed
PNR0000000054,17727,25/10/24,,Tatkal,BSB,SC,24/02/24,RAC,1,Adult,Counter,1677,10,38,Superfast,309,None,No,,Confirmed
PNR0000000055,85263,10-26-2024,2AC,Ladies,JHS,ADI,25/02/24,Waitlisted,2,Child,,1824,15,37,Rajdhani,56,Defense Quota,No,WL107,Not Confirmed
PNR0000000056,58474,10-27-2024,2AC,,LKO,GKP,26/02/24,Confirmed,4,Senior Citizen,Counter,125,14,46,Shatabdi,,None,Yes,,Confirmed
PNR0000000057,75877,28/10/24,2AC,Tatkal,BCT,MAS,27/02/24,RAC,2,Child,IRCTC Website,1521,16,31,Shatabdi,411,None,Yes,,Confirmed
PNR0000000058,92194,29/10/24,2AC,Premium Tatkal,BSB,MAS,28/02/24,RAC,3,Child,Mobile App,1549,9,21,Express,286,None,Yes,,Confirmed
PNR0000000059,85731,30/10/24,3AC,Ladies,LTT,BSB,29/02/24,Waitlisted,1,Child,IRCTC Website,1117,3,17,Shatabdi,,None,No,,Not Confirmed
PNR0000000060,35175,31/10/24,Sleeper,Ladies,JP,CNB,01/03/24,Waitlisted,1,Adult,Mobile App,716,2,41,Rajdhani,228,Senior Citizen,Yes,WL013,Not Confirmed
PNR0000000061,33598,01/11/24,3AC,General,SBC,JU,02/03/24,RAC,2,Child,Mobile App,1200,7,19,Rajdhani,164,Senior Citizen,No,,Confirmed
PNR0000000062,38813,02/11/24,1AC,General,JHS,GKP,03/03/24,Confirmed,2,Child,Counter,231,16,6,Superfast,170,None,Yes,,Confirmed
PNR0000000063,64833,03/11/24,3AC,Tatkal,GKP,GKP,04/03/24,RAC,1,Adult,,248,17,45,Superfast,9,Senior Citizen,No,,Confirmed
PNR0000000064,13596,04/11/24,2AC,,LKO,BSB,05/03/24,Confirmed,4,Child,,1491,9,13,Express,,Defense Quota,No,,Confirmed
PNR0000000065,81398,05/11/24,3AC,Tatkal,MMCT,SC,03/06/24,Waitlisted,1,Child,Mobile App,130,18,43,Superfast,264,None,Yes,WL111,Not Confirmed
PNR0000000066,23345,06/11/24,3AC,Premium Tatkal,CNB,MAS,07/03/24,Waitlisted,2,Child,Counter,239,4,26,Shatabdi,447,Defense Quota,No,WL045,Not Confirmed
PNR0000000067,59733,07/11/24,2AC,Tatkal,HWH,BCT,08/03/24,RAC,4,Adult,Counter,1903,16,37,Express,267,None,Yes,,Confirmed
PNR0000000068,94944,08/11/24,Sleeper,Ladies,CNB,MMCT,09/03/24,Waitlisted,5,Child,IRCTC Website,511,17,45,Superfast,476,Senior Citizen,No,WL050,Not Confirmed
PNR0000000069,20278,09/11/24,Sleeper,Tatkal,GKP,NJP,10/03/24,Confirmed,4,Senior Citizen,IRCTC Website,95,6,21,Shatabdi,269,Senior Citizen,Yes,,Confirmed
PNR0000000070,41776,10/11/24,,Premium Tatkal,BCT,PNBE,11/03/24,RAC,4,Adult,,56,17,46,Rajdhani,146,None,No,,Confirmed
PNR0000000071,61238,11/11/24,2AC,General,BBS,ADI,12/03/24,Waitlisted,2,Child,Mobile App,561,15,37,Express,317,None,No,WL194,Not Confirmed
PNR0000000072,13464,12/11/24,Sleeper,,PNBE,NDLS,13/03/24,Confirmed,4,Child,Counter,1924,2,20,Rajdhani,121,None,No,,Confirmed
PNR0000000073,35867,13/11/24,3AC,General,UMB,HWH,14/03/24,Waitlisted,4,Adult,,1271,4,18,Shatabdi,189,Defense Quota,No,WL155,Not Confirmed
PNR0000000074,66287,14/11/24,1AC,Premium Tatkal,UMB,SBC,15/03/24,Confirmed,1,Child,Counter,1815,2,31,Rajdhani,446,None,No,,Confirmed
PNR0000000075,16338,15/11/24,2AC,General,KOAA,NJP,16/03/24,RAC,1,Senior Citizen,IRCTC Website,674,18,6,Shatabdi,293,Senior Citizen,No,,Confirmed
PNR0000000076,95001,16/11/24,1AC,Premium Tatkal,SBC,CNB,17/03/24,RAC,2,Child,Mobile App,1133,14,39,Superfast,368,Senior Citizen,Yes,,Confirmed
PNR0000000077,31646,17/11/24,,Tatkal,BCT,NDLS,18/03/24,Confirmed,5,Child,IRCTC Website,200,14,7,Express,273,Defense Quota,No,,Confirmed
PNR0000000078,89410,18/11/24,1AC,General,PNBE,BBS,19/03/24,RAC,3,Adult,Counter,485,11,7,Shatabdi,463,None,No,,Confirmed
PNR0000000079,72028,19/11/24,,Ladies,NJP,PNBE,20/03/24,Waitlisted,2,Senior Citizen,Counter,1486,12,27,Superfast,400,None,Yes,WL155,Not Confirmed
PNR0000000080,80190,20/11/24,1AC,Premium Tatkal,CNB,ADI,03-21-2024,Confirmed,2,Senior Citizen,Counter,1729,7,21,Superfast,268,Senior Citizen,Yes,,Confirmed
PNR0000000081,30516,21/11/24,2AC,Premium Tatkal,PNBE,NJP,22/03/24,Confirmed,1,Adult,IRCTC Website,1977,7,18,Shatabdi,88,Senior Citizen,Yes,,Confirmed
PNR0000000082,84469,22/11/24,1AC,,SBC,BCT,23/03/24,Waitlisted,4,Adult,Mobile App,1184,17,31,Rajdhani,385,Defense Quota,Yes,WL198,Not Confirmed
PNR0000000083,70515,23/11/24,,Ladies,BCT,BCT,03-24-2024,Waitlisted,1,Adult,Counter,1903,3,24,Express,371,None,Yes,WL117,Not Confirmed
PNR0000000084,91428,24/11/24,Sleeper,Ladies,KOAA,LTT,25/03/24,RAC,3,Adult,IRCTC Website,540,12,18,Express,230,Defense Quota,Yes,,Confirmed
PNR0000000085,79530,25/11/24,,Ladies,KOAA,CSMT,26/03/24,RAC,1,Child,Mobile App,1524,12,28,Shatabdi,99,Defense Quota,Yes,,Confirmed
PNR0000000086,81259,26/11/24,Sleeper,General,JP,BBS,03-27-2024,RAC,2,Senior Citizen,Mobile App,432,18,44,Shatabdi,417,Defense Quota,No,,Confirmed
PNR0000000087,53770,27/11/24,3AC,Premium Tatkal,BCT,ADI,03-28-2024,RAC,3,Senior Citizen,Mobile App,817,13,3,Shatabdi,63,Senior Citizen,No,,Confirmed
PNR0000000088,82924,28/11/24,1AC,Ladies,ASR,NJP,03-29-2024,Waitlisted,3,Senior Citizen,IRCTC Website,950,8,19,Express,37,Senior Citizen,No,WL109,Not Confirmed
PNR0000000089,18960,29/11/24,1AC,Tatkal,BBS,MAS,30/03/24,Waitlisted,5,Senior Citizen,,1747,12,32,Shatabdi,,Senior Citizen,Yes,WL066,Not Confirmed
PNR0000000090,53791,11-30-2024,3AC,,SC,GKP,31/03/24,RAC,2,Adult,Mobile App,1783,12,18,Rajdhani,293,Senior Citizen,Yes,,Confirmed
PNR0000000091,92414,01/12/24,2AC,Ladies,CSMT,JU,04/01/24,Confirmed,2,Adult,Counter,274,17,27,Express,19,None,No,,Confirmed
PNR0000000092,46828,02/12/24,Sleeper,Tatkal,CSMT,SBC,02/04/24,Confirmed,4,Senior Citizen,IRCTC Website,1000,13,32,Superfast,455,Defense Quota,No,,Confirmed
PNR0000000093,87140,03/12/24,2AC,Tatkal,MMCT,HWH,03/04/24,RAC,5,Child,Counter,1164,10,4,Rajdhani,404,Defense Quota,Yes,,Confirmed
PNR0000000094,99072,04/12/24,,General,SBC,SC,04/04/24,Waitlisted,3,Adult,Counter,1843,16,36,Superfast,490,Defense Quota,No,WL198,Not Confirmed
PNR0000000095,16023,12/05/24,,Tatkal,LTT,MMCT,05/04/24,Waitlisted,2,Senior Citizen,Counter,729,13,29,Rajdhani,248,Defense Quota,Yes,WL072,Not Confirmed
PNR0000000096,84261,06/12/24,Sleeper,Premium Tatkal,BCT,ADI,06/04/24,Confirmed,1,Senior Citizen,,1905,9,7,Superfast,362,None,Yes,,Confirmed
PNR0000000097,67960,07/12/24,2AC,General,JP,PNBE,07/04/24,RAC,3,Senior Citizen,IRCTC Website,1031,15,13,Rajdhani,,Defense Quota,No,,Confirmed
PNR0000000098,25741,08/12/24,1AC,Premium Tatkal,UMB,SC,08/04/24,Waitlisted,2,Senior Citizen,Counter,179,4,43,Express,349,None,No,WL107,Not Confirmed
PNR0000000099,35847,09/12/24,1AC,,SC,BCT,09/04/24,Waitlisted,5,Adult,IRCTC Website,1862,16,3,Express,289,Defense Quota,No,WL054,Not Confirmed
PNR0000000100,98776,10/12/24,3AC,Premium Tatkal,LTT,PNBE,10/04/24,RAC,1,Adult,Mobile App,251,9,37,Superfast,,None,No,,Confirmed
PNR0000000101,90402,11/12/24,Sleeper,Ladies,JU,SC,11/04/24,Waitlisted,4,Adult,,396,16,4,Express,132,Senior Citizen,Yes,WL052,Not Confirmed
PNR0000000102,41184,12/12/24,1AC,Premium Tatkal,HWH,NDLS,12/04/24,Waitlisted,2,Child,Mobile App,885,9,30,Rajdhani,203,Defense Quota,No,WL198,Not Confirmed
PNR0000000103,52438,13/12/24,3AC,General,ADI,CSMT,13/04/24,Waitlisted,5,Child,Counter,1656,2,41,Rajdhani,423,Defense Quota,No,WL166,Not Confirmed
PNR0000000104,12033,14/12/24,3AC,Tatkal,SBC,BBS,14/04/24,Waitlisted,5,Child,IRCTC Website,239,2,34,Shatabdi,365,Senior Citizen,No,WL003,Not Confirmed
PNR0000000105,13258,15/12/24,,Ladies,BCT,BCT,15/04/24,RAC,1,Adult,IRCTC Website,1756,15,4,Superfast,116,Senior Citizen,No,,Confirmed
PNR0000000106,15424,16/12/24,2AC,Premium Tatkal,BCT,JP,16/04/24,Confirmed,4,Senior Citizen,IRCTC Website,1189,17,32,Rajdhani,77,Defense Quota,Yes,,Confirmed
PNR0000000107,55015,17/12/24,,Ladies,LKO,BSB,17/04/24,Waitlisted,4,Adult,IRCTC Website,1249,16,47,Superfast,286,Defense Quota,Yes,WL106,Not Confirmed
PNR0000000108,55703,18/12/24,3AC,Premium Tatkal,PNBE,GKP,18/04/24,Waitlisted,2,Adult,IRCTC Website,651,8,20,Superfast,321,None,No,WL108,Not Confirmed
PNR0000000109,77553,19/12/24,1AC,Premium Tatkal,MAS,CNB,19/04/24,Confirmed,1,Child,Counter,299,9,16,Shatabdi,206,Senior Citizen,No,,Confirmed
PNR0000000110,23582,20/12/24,3AC,General,UMB,ASR,20/04/24,Waitlisted,1,Child,IRCTC Website,1475,11,37,Rajdhani,204,Senior Citizen,Yes,WL073,Not Confirmed
PNR0000000111,57013,21/12/24,Sleeper,Premium Tatkal,GKP,BSB,21/04/24,RAC,4,Adult,IRCTC Website,346,9,41,Rajdhani,363,Senior Citizen,No,,Confirmed
PNR0000000112,43386,22/12/24,Sleeper,Tatkal,SBC,BCT,22/04/24,RAC,1,Adult,Counter,566,3,30,Superfast,,Defense Quota,No,,Confirmed
PNR0000000113,91216,23/12/24,,,CNB,ADI,23/04/24,RAC,3,Child,IRCTC Website,591,5,30,Express,189,Defense Quota,No,,Confirmed
PNR0000000114,41162,24/12/24,1AC,Premium Tatkal,NDLS,LKO,24/04/24,Waitlisted,2,Senior Citizen,Counter,1609,19,43,Superfast,232,Senior Citizen,Yes,,Not Confirmed
PNR0000000115,46907,25/12/24,3AC,Premium Tatkal,LKO,CNB,25/04/24,Waitlisted,5,Child,Counter,599,9,30,Superfast,383,Senior Citizen,No,WL123,Not Confirmed
PNR0000000116,24727,26/12/24,3AC,Tatkal,MMCT,BSB,26/04/24,Confirmed,5,Senior Citizen,IRCTC Website,187,11,3,Rajdhani,310,None,Yes,,Confirmed
PNR0000000117,47160,27/12/24,1AC,Premium Tatkal,BBS,PNBB,27/04/24,Waitlisted,2,Child,IRCTC Website,1157,11,21,Shatabdi,75,Defense Quota,Yes,WL072,Not Confirmed
PNR0000000118,73704,28/12/24,3AC,Ladies,UMB,JHS,28/04/24,Confirmed,4,Senior Citizen,Mobile App,320,19,24,Express,278,None,No,,Confirmed
PNR0000000119,66787,29/12/24,,General,UMB,NJP,29/04/24,RAC,1,Senior Citizen,Mobile App,1444,4,44,Rajdhani,354,Defense Quota,Yes,,Confirmed
PNR0000000120,39092,30/12/24,3AC,Premium Tatkal,CSMT,MAS,30/04/24,Waitlisted,5,Child,IRCTC Website,326,14,20,Superfast,278,Senior Citizen,No,,Not Confirmed
PNR0000000121,40166,31/12/24,2AC,General,LTT,UMB,01/05/24,Waitlisted,5,Senior Citizen,IRCTC Website,1068,15,4,Express,68,Defense Quota,Yes,WL163,Not Confirmed
PNR0000000122,83160,01/01/25,Sleeper,Ladies,PNBE,JU,02/05/24,RAC,5,Senior Citizen,Mobile App,1415,15,23,Superfast,251,Defense Quota,No,,Confirmed
PNR0000000123,47260,02/01/25,1AC,,LKO,SC,03/05/24,Confirmed,3,Senior Citizen,Mobile App,1947,2,38,Express,118,Defense Quota,No,,Confirmed
PNR0000000124,14262,03/01/25,3AC,Ladies,LKO,BSB,04/05/24,Waitlisted,5,Child,Mobile App,172,17,21,Express,466,Defense Quota,No,WL012,Not Confirmed
PNR0000000125,83692,04/01/25,Sleeper,Ladies,JP,JU,05/05/24,RAC,5,Senior Citizen,,741,12,11,Express,15,Senior Citizen,No,,Confirmed
PNR0000000126,98963,05/01/25,2AC,,SBC,LTT,06/05/24,Waitlisted,4,Child,Counter,63,17,19,Express,108,Defense Quota,Yes,WL185,Not Confirmed
PNR0000000127,30410,06/01/25,Sleeper,,CSMT,KOAA,07/05/24,Confirmed,5,Adult,Counter,216,11,39,Superfast,437,Senior Citizen,No,,Confirmed
PNR0000000128,19798,07/01/25,2AC,Tatkal,KOAA,UMB,08/05/24,Waitlisted,1,Adult,Counter,284,3,17,Rajdhani,324,Defense Quota,No,WL174,Not Confirmed
PNR0000000129,57437,08/01/25,3AC,Ladies,MMCT,MMCT,09/05/24,RAC,4,Child,Counter,554,16,43,Shatabdi,429,None,Yes,,Confirmed
PNR0000000130,84960,09/01/25,3AC,Ladies,CNB,SBC,10/05/24,Waitlisted,5,Adult,IRCTC Website,1683,17,4,Superfast,,Defense Quota,Yes,WL041,Not Confirmed
PNR0000000131,91917,10/01/25,1AC,Tatkal,NDLS,ADI,11/05/24,Waitlisted,1,Senior Citizen,Counter,989,5,23,Shatabdi,413,None,No,WL042,Not Confirmed
PNR0000000132,96861,11/01/25,2AC,Tatkal,SBC,NJP,12/05/24,Confirmed,2,Child,Mobile App,53,12,47,Superfast,276,Defense Quota,Yes,,Confirmed
PNR0000000133,35213,12/01/25,,Tatkal,HWH,SC,13/05/24,RAC,4,Child,Counter,896,4,6,Superfast,331,Defense Quota,Yes,,Confirmed
PNR0000000134,62314,13/01/25,1AC,,MAS,UMB,14/05/24,Waitlisted,5,Adult,Mobile App,1636,16,4,Rajdhani,283,None,Yes,,Not Confirmed
PNR0000000135,36623,14/01/25,3AC,Premium Tatkal,JP,JP,15/05/24,RAC,5,Child,Counter,1757,3,6,Express,45,Defense Quota,Yes,,Confirmed
PNR0000000136,59763,15/01/25,1AC,General,ADI,SBC,16/05/24,Waitlisted,5,Child,Counter,1475,19,35,Superfast,475,None,No,WL125,Not Confirmed
PNR0000000137,65648,16/01/25,2AC,Tatkal,LTT,JU,17/05/24,Waitlisted,4,Child,,945,5,34,Rajdhani,224,None,No,WL140,Not Confirmed
PNR0000000138,19188,01-17-2025,1AC,Premium Tatkal,PNBE,BCT,18/05/24,RAC,3,Senior Citizen,IRCTC Website,272,13,42,Shatabdi,20,Senior Citizen,Yes,,Confirmed
PNR0000000139,27535,18/01/25,3AC,Premium Tatkal,BSB,NDLS,19/05/24,RAC,1,Child,IRCTC Website,1035,5,44,Shatabdi,415,None,No,,Confirmed
PNR0000000140,38555,19/01/25,,Ladies,KOAA,CNB,20/05/24,Confirmed,5,Adult,IRCTC Website,1546,18,7,Superfast,175,None,No,,Confirmed
PNR0000000141,56839,20/01/25,Sleeper,Tatkal,CNB,NJP,21/05/24,Confirmed,1,Adult,IRCTC Website,1755,19,12,Superfast,400,Senior Citizen,No,,Confirmed
PNR0000000142,66318,21/01/25,1AC,Tatkal,MAS,CNB,22/05/24,RAC,1,Adult,Counter,1048,4,44,Superfast,237,Senior Citizen,No,,Confirmed
PNR0000000143,91166,22/01/25,3AC,Ladies,ASR,SBC,23/05/24,Confirmed,2,Child,IRCTC Website,530,6,11,Rajdhani,336,None,No,,Confirmed
PNR0000000144,59899,23/01/25,,,BBS,MMCT,24/05/24,Confirmed,2,Child,Counter,937,17,47,Express,95,None,Yes,,Confirmed
PNR0000000145,29008,24/01/25,1AC,Ladies,PNBE,KOAA,25/05/24,Waitlisted,4,Adult,Counter,560,2,21,Rajdhani,221,Senior Citizen,No,WL186,Not Confirmed
PNR0000000146,28156,25/01/25,1AC,,PNBE,MAS,26/05/24,RAC,3,Child,Counter,1312,5,12,Superfast,30,None,Yes,,Confirmed
PNR0000000147,50911,26/01/25,Sleeper,Ladies,BSB,HWH,27/05/24,Confirmed,2,Child,Counter,1088,17,23,Rajdhani,146,Senior Citizen,No,,Confirmed
PNR0000000148,27029,27/01/25,Sleeper,Tatkal,HWH,PNBE,28/05/24,RAC,1,Senior Citizen,Counter,1660,7,42,Shatabdi,21,Senior Citizen,Yes,,Confirmed
PNR0000000149,49607,28/01/25,2AC,Ladies,SBC,BSB,29/05/24,RAC,2,Senior Citizen,Mobile App,1090,4,10,Rajdhani,108,Senior Citizen,Yes,,Confirmed
PNR0000000150,59984,29/01/25,3AC,General,CNB,LKO,30/05/24,Confirmed,2,Adult,IRCTC Website,1074,7,38,Shatabdi,384,Defense Quota,No,,Confirmed
PNR0000000151,85278,30/01/25,Sleeper,General,JP,SBC,31/05/24,Waitlisted,1,Senior Citizen,Mobile App,411,11,46,Express,31,Senior Citizen,No,WL095,Not Confirmed
PNR0000000152,15496,31/01/25,3AC,Tatkal,LKO,NJP,01/06/24,Waitlisted,2,Senior Citizen,Mobile App,1007,13,40,Rajdhani,283,Senior Citizen,No,WL033,Not Confirmed
